ID	Phylum	Type
Cyanidioschyzon_merolae	Rhodophyta	No_Flowering
Galdieria_phlegrea	Rhodophyta	No_Flowering
Galdieria_sulphuraria	Rhodophyta	No_Flowering
Porphyridium_purpureum	Rhodophyta	No_Flowering
Porphyra_umbilicalis	Rhodophyta	No_Flowering
Chondrus_crispus	Rhodophyta	No_Flowering
Gracilariopsis_chorda	Rhodophyta	No_Flowering
Prasinoderma_coloniale	Prasinodermophyta	No_Flowering
Chloropicon_primus	Chlorophyta	No_Flowering
Tetrabaena_socialis	Chlorophyta	No_Flowering
Micromonas_pusilla	Chlorophyta	No_Flowering
Micromonas_commoda	Chlorophyta	No_Flowering
Ostreococcus_tauri	Chlorophyta	No_Flowering
Bathycoccus_prasinos	Chlorophyta	No_Flowering
Asterochloris_glomerata	Chlorophyta	No_Flowering
Coccomyxa_subellipsoidea	Chlorophyta	No_Flowering
Ulva_mutabilis	Chlorophyta	No_Flowering
Auxenochlorella_protothecoides	Chlorophyta	No_Flowering
Chlorella_variabilis	Chlorophyta	No_Flowering
Chlorella_sorokiniana	Chlorophyta	No_Flowering
Micractinium_conductrix	Chlorophyta	No_Flowering
Caulerpa_lentillifera	Chlorophyta	No_Flowering
Chromochloris_zofingiensis	Chlorophyta	No_Flowering
Raphidocelis_subcapitata	Chlorophyta	No_Flowering
Monoraphidium_neglectum	Chlorophyta	No_Flowering
Chlamydomonas_schloesseri	Chlorophyta	No_Flowering
Chlamydomonas_eustigma	Chlorophyta	No_Flowering
Chlamydomonas_incerta	Chlorophyta	No_Flowering
Dunaliella_salina	Chlorophyta	No_Flowering
Haematococcus_pluvialis	Chlorophyta	No_Flowering
Chlamydomonas_reinhardtii	Chlorophyta	No_Flowering
Gonium_pectorale	Chlorophyta	No_Flowering
Volvox_reticuliferus	Chlorophyta	No_Flowering
Volvox_africanus	Chlorophyta	No_Flowering
Volvox_carteri	Chlorophyta	No_Flowering
Klebsormidium_flaccidum	Klebsormidiophyceae	No_Flowering
Chara_braunii	Charophyceae	No_Flowering
Mesotaenium_endlicherianum	Zygnematophyceae	No_Flowering
Penium_margaritaceum	Zygnematophyceae	No_Flowering
Marchantia_polymorpha	Marchantiophyta	No_Flowering
Physcomitrella_patens	Bryophyta	No_Flowering
Calohypnum_plumiforme	Bryophyta	No_Flowering
Fontinalis_antipyretica	Bryophyta	No_Flowering
Pleurozium_schreberi	Bryophyta	No_Flowering
Anthoceros_angustus	Anthocerotales	No_Flowering
Anthoceros_agrestis	Anthocerotales	No_Flowering
Anthoceros_punctatus	Anthocerotales	No_Flowering
Selaginella_moellendorffii	Lycopodiophyta	No_Flowering
Abies_alba	Lycopodiophyta	No_Flowering
Gnetum_montanum	Lycopodiophyta	No_Flowering
Sequoiadendron_giganteum	Lycopodiophyta	No_Flowering
Amborella_trichopoda	basal Angiosperms	Flowering
Euryale_ferox	basal Angiosperms	Flowering
Nymphaea_colorata	basal Angiosperms	Flowering
Nymphaea_thermarum	basal Angiosperms	Flowering
Piper_nigrum	Magnoliidae	Flowering
Liriodendron_chinense	Magnoliidae	Flowering
Magnolia_biondii	Magnoliidae	Flowering
Chimonanthus_salicifolius	Magnoliidae	Flowering
Cinnamomum_kanehirae	Magnoliidae	Flowering
Persea_americana	Magnoliidae	Flowering
Zostera_marina	Monocotyledoneae	Flowering
Zostera_muelleri	Monocotyledoneae	Flowering
Wolffia_australiana	Monocotyledoneae	Flowering
Lemna_minor	Monocotyledoneae	Flowering
Spirodela_polyrhiza	Monocotyledoneae	Flowering
Spirodela_intermedia	Monocotyledoneae	Flowering
Trichopus_zeylanicus	Monocotyledoneae	Flowering
Dioscorea_rotundata	Monocotyledoneae	Flowering
Dioscorea_dumetorum	Monocotyledoneae	Flowering
Asparagus_officinalis	Monocotyledoneae	Flowering
Allium_sativum	Monocotyledoneae	Flowering
Apostasia_shenzhenica	Monocotyledoneae	Flowering
Vanilla_planifolia	Monocotyledoneae	Flowering
Dendrobium_catenatum	Monocotyledoneae	Flowering
Phalaenopsis_equestris	Monocotyledoneae	Flowering
Phalaenopsis_aphrodite	Monocotyledoneae	Flowering
Calamus_simplicifolius	Monocotyledoneae	Flowering
Phoenix_dactylifera	Monocotyledoneae	Flowering
Areca_catechu	Monocotyledoneae	Flowering
Elaeis_guineensis	Monocotyledoneae	Flowering
Zingiber_officinale	Monocotyledoneae	Flowering
Ensete_ventricosum	Monocotyledoneae	Flowering
Musa_schizocarpa	Monocotyledoneae	Flowering
Musa_itinerans	Monocotyledoneae	Flowering
Musa_acuminata	Monocotyledoneae	Flowering
Musa_balbisiana	Monocotyledoneae	Flowering
Ananas_comosus	Monocotyledoneae	Flowering
Kobresia_littledalei	Monocotyledoneae	Flowering
Cleistogenes_songorica	Monocotyledoneae	Flowering
Oropetium_thomaeum	Monocotyledoneae	Flowering
Eleusine_coracana	Monocotyledoneae	Flowering
Eleusine_indica	Monocotyledoneae	Flowering
Zoysia_matrella	Monocotyledoneae	Flowering
Zoysia_pacifica	Monocotyledoneae	Flowering
Zoysia_japonica	Monocotyledoneae	Flowering
Eragrostis_tef	Monocotyledoneae	Flowering
Eragrostis_curvula	Monocotyledoneae	Flowering
Eragrostis_nindensis	Monocotyledoneae	Flowering
Zea_mays	Monocotyledoneae	Flowering
Coix_lacryma-jobi	Monocotyledoneae	Flowering
Sorghum_bicolor	Monocotyledoneae	Flowering
Miscanthus_lutarioriparius	Monocotyledoneae	Flowering
Miscanthus_sinensis	Monocotyledoneae	Flowering
Saccharum_spp	Monocotyledoneae	Flowering
Saccharum_spontaneum	Monocotyledoneae	Flowering
Panicum_miliaceum	Monocotyledoneae	Flowering
Dichanthelium_oligosanthes	Monocotyledoneae	Flowering
Digitaria_exilis	Monocotyledoneae	Flowering
Panicum_hallii	Monocotyledoneae	Flowering
Cenchrus_purpureus	Monocotyledoneae	Flowering
Setaria_viridis	Monocotyledoneae	Flowering
Alloteropsis_semialata	Monocotyledoneae	Flowering
Echinochloa_crus-galli	Monocotyledoneae	Flowering
Zizania_palustris	Monocotyledoneae	Flowering
Leersia_perrieri	Monocotyledoneae	Flowering
Oryza_granulata	Monocotyledoneae	Flowering
Oryza_brachyantha	Monocotyledoneae	Flowering
Oryza_coarctata	Monocotyledoneae	Flowering
Oryza_officinalis	Monocotyledoneae	Flowering
Oryza_rhizomatis	Monocotyledoneae	Flowering
