ID,Sites,value
Cyanidioschyzon_merolae,MYB_1R,21
Galdieria_phlegrea,MYB_1R,24
Galdieria_sulphuraria,MYB_1R,28
Porphyridium_purpureum,MYB_1R,33
Porphyra_umbilicalis,MYB_1R,18
Chondrus_crispus,MYB_1R,16
Gracilariopsis_chorda,MYB_1R,25
Prasinoderma_coloniale,MYB_1R,18
Chloropicon_primus,MYB_1R,21
Tetrabaena_socialis,MYB_1R,16
Micromonas_pusilla,MYB_1R,22
Micromonas_commoda,MYB_1R,21
Ostreococcus_tauri,MYB_1R,22
Bathycoccus_prasinos,MYB_1R,15
Asterochloris_glomerata,MYB_1R,17
Coccomyxa_subellipsoidea,MYB_1R,17
Ulva_mutabilis,MYB_1R,15
Auxenochlorella_protothecoides,MYB_1R,16
Chlorella_variabilis,MYB_1R,19
Chlorella_sorokiniana,MYB_1R,21
Micractinium_conductrix,MYB_1R,19
Caulerpa_lentillifera,MYB_1R,11
Chromochloris_zofingiensis,MYB_1R,20
Raphidocelis_subcapitata,MYB_1R,17
Monoraphidium_neglectum,MYB_1R,20
Chlamydomonas_schloesseri,MYB_1R,28
Chlamydomonas_eustigma,MYB_1R,15
Chlamydomonas_incerta,MYB_1R,36
Dunaliella_salina,MYB_1R,10
Haematococcus_pluvialis,MYB_1R,13
Chlamydomonas_reinhardtii,MYB_1R,30
Gonium_pectorale,MYB_1R,13
Volvox_reticuliferus,MYB_1R,23
Volvox_africanus,MYB_1R,23
Volvox_carteri,MYB_1R,15
Klebsormidium_flaccidum,MYB_1R,24
Chara_braunii,MYB_1R,14
Mesotaenium_endlicherianum,MYB_1R,21
Penium_margaritaceum,MYB_1R,44
Marchantia_polymorpha,MYB_1R,29
Physcomitrella_patens,MYB_1R,91
Calohypnum_plumiforme,MYB_1R,51
Fontinalis_antipyretica,MYB_1R,43
Pleurozium_schreberi,MYB_1R,31
Anthoceros_angustus,MYB_1R,24
Anthoceros_agrestis,MYB_1R,29
Anthoceros_punctatus,MYB_1R,26
Selaginella_moellendorffii,MYB_1R,117
Abies_alba,MYB_1R,55
Gnetum_montanum,MYB_1R,32
Sequoiadendron_giganteum,MYB_1R,95
Amborella_trichopoda,MYB_1R,66
Euryale_ferox,MYB_1R,194
Nymphaea_colorata,MYB_1R,83
Nymphaea_thermarum,MYB_1R,83
Piper_nigrum,MYB_1R,4
Liriodendron_chinense,MYB_1R,85
Magnolia_biondii,MYB_1R,73
Chimonanthus_salicifolius,MYB_1R,118
Cinnamomum_kanehirae,MYB_1R,114
Persea_americana,MYB_1R,106
Zostera_marina,MYB_1R,61
Zostera_muelleri,MYB_1R,130
Wolffia_australiana,MYB_1R,30
Lemna_minor,MYB_1R,82
Spirodela_polyrhiza,MYB_1R,73
Spirodela_intermedia,MYB_1R,75
Trichopus_zeylanicus,MYB_1R,117
Dioscorea_rotundata,MYB_1R,96
Dioscorea_dumetorum,MYB_1R,114
Asparagus_officinalis,MYB_1R,84
Allium_sativum,MYB_1R,114
Apostasia_shenzhenica,MYB_1R,72
Vanilla_planifolia,MYB_1R,107
Dendrobium_catenatum,MYB_1R,93
Phalaenopsis_equestris,MYB_1R,91
Phalaenopsis_aphrodite,MYB_1R,84
Calamus_simplicifolius,MYB_1R,154
Phoenix_dactylifera,MYB_1R,134
Areca_catechu,MYB_1R,123
Elaeis_guineensis,MYB_1R,114
Zingiber_officinale,MYB_1R,273
Ensete_ventricosum,MYB_1R,150
Musa_schizocarpa,MYB_1R,152
Musa_itinerans,MYB_1R,152
Musa_acuminata,MYB_1R,157
Musa_balbisiana,MYB_1R,172
Ananas_comosus,MYB_1R,81
Kobresia_littledalei,MYB_1R,73
Cleistogenes_songorica,MYB_1R,189
Oropetium_thomaeum,MYB_1R,79
Eleusine_coracana,MYB_1R,171
Eleusine_indica,MYB_1R,88
Zoysia_matrella,MYB_1R,174
Zoysia_pacifica,MYB_1R,117
Zoysia_japonica,MYB_1R,98
Eragrostis_tef,MYB_1R,52
Eragrostis_curvula,MYB_1R,161
Eragrostis_nindensis,MYB_1R,33
Zea_mays,MYB_1R,152
Coix_lacryma-jobi,MYB_1R,99
Sorghum_bicolor,MYB_1R,118
Miscanthus_lutarioriparius,MYB_1R,211
